ISO,REF_AREA_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BEL,Belgium,96.377,96.461,96.542,96.622,96.7,96.777,96.851,96.924,96.996,97.065,97.129,97.186,97.241,97.296,97.35,97.403,97.454,97.505,97.555,97.603,97.651,97.698,97.744,97.789,97.833,97.876,97.919,97.961,98.001,98.041,98.079,98.117,98.153,98.189,98.224
BEN,Benin,34.485,35.247,35.827,36.136,36.447,36.758,37.071,37.385,37.699,38.015,38.333,38.65,39.036,39.536,40.039,40.543,41.049,41.558,42.069,42.58,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861,48.415,48.972,49.534,50.1,50.669
BFA,Burkina Faso,13.815,14.07,14.33,14.593,14.86,15.131,15.407,15.875,16.51,17.166,17.844,18.54,19.258,19.996,20.757,21.537,22.339,22.996,23.534,24.079,24.633,25.196,25.767,26.346,26.934,27.53,28.134,28.743,29.358,29.98,30.607,31.24,31.877,32.52,33.166
BGD,Bangladesh,19.811,20.257,20.61,20.966,21.328,21.693,22.064,22.438,22.818,23.202,23.59,24.096,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711,40.473,41.23
BGR,Bulgaria,66.377,66.717,67.056,67.33,67.557,67.782,68.007,68.231,68.454,68.677,68.899,69.166,69.524,69.879,70.233,70.584,70.932,71.278,71.622,71.963,72.302,72.638,72.975,73.313,73.651,73.99,74.329,74.669,75.008,75.347,75.686,76.025,76.363,76.701,77.037
BHR,Bahrain,88.14,88.329,88.398,88.395,88.392,88.388,88.385,88.382,88.379,88.376,88.372,88.369,88.373,88.383,88.399,88.422,88.452,88.488,88.53,88.579,88.634,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506,89.622,89.743,89.869,89.999
BHS,"Bahamas, The",79.838,80.067,80.293,80.518,80.74,80.961,81.18,81.396,81.611,81.824,82.007,82.049,82.092,82.134,82.176,82.218,82.26,82.302,82.343,82.385,82.427,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245,83.365,83.492,83.625,83.764
BIH,Bosnia and Herzegovina,39.249,39.578,39.887,40.196,40.506,40.817,41.13,41.442,41.755,42.069,42.384,42.698,43.014,43.33,43.648,43.965,44.282,44.601,44.92,45.239,45.558,45.878,46.199,46.519,46.84,47.173,47.518,47.876,48.245,48.626,49.02,49.425,49.841,50.269,50.708
BLR,Belarus,65.981,66.374,66.766,67.155,67.541,67.926,68.308,68.687,69.064,69.482,69.973,70.458,70.939,71.415,71.887,72.354,72.816,73.273,73.726,74.172,74.672,75.188,75.697,76.199,76.693,77.181,77.661,78.134,78.595,79.044,79.483,79.91,80.326,80.731,81.125
BLZ,Belize,47.465,47.271,47.059,46.848,46.637,46.425,46.214,46.003,45.793,45.582,45.398,45.381,45.364,45.347,45.33,45.313,45.296,45.279,45.262,45.245,45.228,45.228,45.246,45.282,45.335,45.406,45.495,45.601,45.724,45.866,46.025,46.201,46.396,46.608,46.838
BMU,Bermuda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BOL,Bolivia,55.577,56.579,57.541,58.079,58.615,59.15,59.682,60.212,60.739,61.264,61.787,62.306,62.783,63.248,63.711,64.17,64.628,65.082,65.535,65.984,66.43,66.874,67.315,67.699,68.047,68.393,68.738,69.08,69.425,69.773,70.123,70.475,70.83,71.186,71.545
BRA,Brazil,73.922,74.69,75.444,76.181,76.903,77.61,78.302,79.048,79.781,80.496,81.192,81.553,81.88,82.203,82.521,82.834,83.143,83.448,83.749,84.044,84.335,84.631,84.923,85.209,85.492,85.77,86.042,86.309,86.569,86.824,87.073,87.317,87.555,87.788,88.016
BRB,Barbados,37.37,37.006,36.643,36.283,35.924,35.566,35.21,34.856,34.503,34.152,33.827,33.629,33.431,33.234,33.037,32.841,32.646,32.451,32.256,32.063,31.87,31.7,31.553,31.429,31.328,31.249,31.193,31.159,31.147,31.158,31.191,31.246,31.324,31.425,31.548
BRN,Brunei Darussalam,66.438,66.585,67.078,67.604,68.126,68.644,69.158,69.666,70.17,70.669,71.164,71.652,72.046,72.421,72.794,73.163,73.529,73.892,74.252,74.608,74.961,75.31,75.656,75.997,76.332,76.663,76.99,77.312,77.629,77.942,78.25,78.554,78.854,79.149,79.439
BTN,Bhutan,16.388,17.161,17.962,18.791,19.649,20.537,21.456,22.401,23.377,24.383,25.418,26.48,27.57,28.688,29.835,30.965,31.712,32.469,33.236,34.01,34.793,35.585,36.371,37.149,37.918,38.678,39.428,40.167,40.895,41.612,42.316,43.008,43.686,44.35,45.0
BWA,Botswana,41.933,45.292,46.443,47.286,48.133,48.981,49.83,50.677,51.525,52.372,53.219,54.062,54.57,55.029,55.488,55.944,56.4,57.928,59.444,60.937,62.412,63.865,64.768,65.572,66.368,67.155,67.933,68.7,69.446,70.172,70.877,71.56,72.224,72.867,73.49
CAF,Central African Republic,36.825,36.906,36.987,37.068,37.149,37.231,37.312,37.394,37.475,37.557,37.639,37.72,37.802,37.884,37.966,38.069,38.193,38.339,38.506,38.694,38.904,39.135,39.388,39.663,39.959,40.277,40.618,40.98,41.364,41.77,42.198,42.648,43.12,43.614,44.13
CAN,Canada,76.582,76.62,76.887,77.152,77.414,77.675,77.951,78.34,78.724,79.103,79.478,79.81,79.888,79.967,80.045,80.122,80.213,80.396,80.578,80.758,80.937,81.096,81.137,81.178,81.218,81.259,81.3,81.35,81.411,81.482,81.562,81.653,81.752,81.862,81.98
CEB,Central Electricity Board (CEB),61.39184891050757,61.60331236939888,61.69341933306956,61.66523865156157,61.63675360151573,61.60923061255979,61.587247657553455,61.56317794430449,61.53401823352496,61.505069788599215,61.47618735749828,61.49545330109989,61.5557607471992,61.60215569199242,61.64818104905784,61.7026922241905,61.76389544552708,61.8418454287671,61.92454054662049,61.986046876008906,62.026065024419744,62.06393448523135,62.08229475138213,62.08539854817312,62.096663299312,62.118022196384416,62.15655285906909,62.21537913908022,62.29474070413738,62.39255473656054,62.52134192757112,62.65356713017175,62.83593159687202,63.035453239976704,63.231802357821536
CHE,Switzerland,73.926,73.869,73.815,73.762,73.708,73.654,73.6,73.546,73.492,73.438,73.383,73.375,73.401,73.427,73.452,73.478,73.504,73.53,73.556,73.581,73.607,73.631,73.653,73.674,73.696,73.718,73.739,73.761,73.797,73.849,73.915,73.996,74.092,74.202,74.327
CHI,Channel Islands,31.392,31.262,31.076,30.891,30.706,30.522,30.4,30.416,30.432,30.449,30.465,30.495,30.557,30.619,30.681,30.743,30.805,30.867,30.929,30.992,31.054,31.091,31.059,31.027,30.995,30.962,30.93,30.914,30.914,30.931,30.963,31.012,31.077,31.159,31.257
CHL,Chile,83.271,83.398,83.564,83.896,84.223,84.545,84.861,85.172,85.477,85.778,86.073,86.363,86.606,86.665,86.725,86.783,86.842,86.9,86.959,87.017,87.074,87.132,87.189,87.246,87.303,87.36,87.422,87.49,87.564,87.643,87.727,87.817,87.912,88.012,88.116
CHN,China,26.442,27.312,28.2,29.103,30.024,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,61.428,62.512,63.56,64.57,65.544
CIV,Cote d'Ivoire,39.345,39.716,40.088,40.461,40.835,41.21,41.587,41.964,42.342,42.741,43.155,43.568,43.983,44.399,44.817,45.234,45.652,46.071,46.491,46.91,47.33,47.751,48.172,48.593,49.014,49.444,49.881,50.326,50.779,51.239,51.706,52.18,52.661,53.149,53.644
CMR,Cameroon,39.657,40.235,40.817,41.399,41.985,42.573,43.164,43.755,44.348,44.944,45.542,46.139,46.738,47.338,47.94,48.541,49.143,49.746,50.35,50.954,51.559,52.164,52.769,53.373,53.976,54.578,55.179,55.777,56.374,56.968,57.56,58.148,58.733,59.315,59.892
